Genes,Result
ENSMUSG00000107529,53
ENSMUSG00000047965,53
ENSMUSG00000085252,53
ENSMUSG00000080860,53
ENSMUSG00000083397,53
ENSMUSG00000083283,53
ENSMUSG00000104724,53
ENSMUSG00000106717,53
ENSMUSG00000107168,53
ENSMUSG00000105431,53
ENSMUSG00000029368,53
ENSMUSG00000106840,53
ENSMUSG00000085194,53
ENSMUSG00000109751,53
ENSMUSG00000106683,53
ENSMUSG00000097380,53
ENSMUSG00000097136,53
ENSMUSG00000086468,53
ENSMUSG00000051378,53
ENSMUSG00000093508,53
ENSMUSG00000102719,54
ENSMUSG00000103756,54
ENSMUSG00000016526,54
ENSMUSG00000015619,54
ENSMUSG00000027985,54
ENSMUSG00000105748,54
ENSMUSG00000081210,54
ENSMUSG00000048003,54
ENSMUSG00000096936,54
ENSMUSG00000108068,54
ENSMUSG00000107937,54
ENSMUSG00000108678,54
ENSMUSG00000109555,54
ENSMUSG00000107531,54
ENSMUSG00000097263,54
ENSMUSG00000031775,54
ENSMUSG00000097424,54
ENSMUSG00000079677,54
ENSMUSG00000103621,54
ENSMUSG00000078141,54
ENSMUSG00000087526,54
ENSMUSG00000097103,54
ENSMUSG00000005681,55
ENSMUSG00000092353,55
ENSMUSG00000088302,55
ENSMUSG00000081730,55
ENSMUSG00000104721,55
ENSMUSG00000106443,55
ENSMUSG00000105969,55
ENSMUSG00000070891,55
ENSMUSG00000106732,55
ENSMUSG00000106772,55
ENSMUSG00000106706,55
ENSMUSG00000104576,55
ENSMUSG00000033508,55
ENSMUSG00000108171,55
ENSMUSG00000110282,55
ENSMUSG00000109580,55
ENSMUSG00000102153,55
ENSMUSG00000093668,55
ENSMUSG00000046856,56
ENSMUSG00000016529,56
ENSMUSG00000078122,56
ENSMUSG00000040264,56
ENSMUSG00000105156,56
ENSMUSG00000104709,56
ENSMUSG00000106749,56
ENSMUSG00000106751,56
ENSMUSG00000105542,56
ENSMUSG00000106676,56
ENSMUSG00000108004,56
ENSMUSG00000104420,56
ENSMUSG00000108920,56
ENSMUSG00000084399,56
ENSMUSG00000087163,56
ENSMUSG00000109789,56
ENSMUSG00000092358,56
ENSMUSG00000038379,56
ENSMUSG00000084411,56
ENSMUSG00000092540,56
ENSMUSG00000085229,56
ENSMUSG00000021319,56
ENSMUSG00000085595,56
ENSMUSG00000098293,56
ENSMUSG00000102319,57
ENSMUSG00000089877,57
