Genes,Result
ENSMUSG00000057880,39
ENSMUSG00000024222,39
ENSMUSG00000047907,40
ENSMUSG00000085028,40
ENSMUSG00000081067,40
ENSMUSG00000029027,40
ENSMUSG00000104871,40
ENSMUSG00000036948,40
ENSMUSG00000107624,40
ENSMUSG00000042213,40
ENSMUSG00000108658,40
ENSMUSG00000086859,40
ENSMUSG00000096942,40
ENSMUSG00000044636,40
ENSMUSG00000024330,40
ENSMUSG00000041777,41
ENSMUSG00000092201,41
ENSMUSG00000029022,41
ENSMUSG00000039759,41
ENSMUSG00000097392,41
ENSMUSG00000105434,41
ENSMUSG00000108322,41
ENSMUSG00000101609,41
ENSMUSG00000006731,41
ENSMUSG00000097589,41
ENSMUSG00000042138,41
ENSMUSG00000032377,41
ENSMUSG00000037243,41
ENSMUSG00000020441,41
ENSMUSG00000082536,42
ENSMUSG00000036572,42
ENSMUSG00000035967,42
ENSMUSG00000004896,42
ENSMUSG00000104621,42
ENSMUSG00000079065,42
ENSMUSG00000037344,42
ENSMUSG00000012640,42
ENSMUSG00000057143,42
ENSMUSG00000090889,42
ENSMUSG00000032253,42
ENSMUSG00000025145,42
ENSMUSG00000090386,42
ENSMUSG00000043991,42
ENSMUSG00000001750,42
ENSMUSG00000074733,42
ENSMUSG00000026034,43
ENSMUSG00000039997,43
ENSMUSG00000009633,43
ENSMUSG00000055897,43
ENSMUSG00000029298,43
ENSMUSG00000053964,43
ENSMUSG00000097415,43
ENSMUSG00000019787,43
ENSMUSG00000025408,43
ENSMUSG00000034911,43
ENSMUSG00000097652,43
ENSMUSG00000032425,43
ENSMUSG00000044037,43
ENSMUSG00000020863,43
ENSMUSG00000021495,43
ENSMUSG00000010608,43
ENSMUSG00000024299,43
ENSMUSG00000034647,43
ENSMUSG00000096768,43
ENSMUSG00000026628,44
ENSMUSG00000026819,44
ENSMUSG00000040152,44
ENSMUSG00000006445,44
ENSMUSG00000003477,44
ENSMUSG00000003545,44
ENSMUSG00000030878,44
ENSMUSG00000038894,44
ENSMUSG00000005413,44
ENSMUSG00000032515,44
ENSMUSG00000020363,44
ENSMUSG00000053113,44
ENSMUSG00000021411,44
ENSMUSG00000041773,44
ENSMUSG00000034271,44
ENSMUSG00000042622,44
ENSMUSG00000051439,44
ENSMUSG00000024427,44
ENSMUSG00000024754,44
ENSMUSG00000059149,45
ENSMUSG00000026655,45
ENSMUSG00000028703,45
ENSMUSG00000029500,45
ENSMUSG00000097815,45
ENSMUSG00000063415,45
ENSMUSG00000020091,45
ENSMUSG00000015312,45
ENSMUSG00000021750,45
ENSMUSG00000091089,45
ENSMUSG00000045875,45
ENSMUSG00000044795,45
ENSMUSG00000050860,45
ENSMUSG00000001542,45
ENSMUSG00000084883,45
ENSMUSG00000005580,45
ENSMUSG00000102918,45
ENSMUSG00000025429,45
ENSMUSG00000002109,46
ENSMUSG00000032715,46
ENSMUSG00000106073,46
ENSMUSG00000107091,46
ENSMUSG00000072647,46
ENSMUSG00000044367,46
ENSMUSG00000000567,46
ENSMUSG00000035711,46
ENSMUSG00000074874,46
ENSMUSG00000022676,46
ENSMUSG00000052188,46
ENSMUSG00000043015,47
ENSMUSG00000084416,47
ENSMUSG00000082127,47
ENSMUSG00000059708,47
ENSMUSG00000086370,47
ENSMUSG00000028689,47
ENSMUSG00000072692,47
ENSMUSG00000029720,47
ENSMUSG00000072770,47
ENSMUSG00000035713,47
ENSMUSG00000107383,47
ENSMUSG00000058922,47
ENSMUSG00000082481,47
ENSMUSG00000061330,47
ENSMUSG00000044712,47
ENSMUSG00000048856,47
ENSMUSG00000102562,47
ENSMUSG00000002617,47
ENSMUSG00000073422,47
