Genes,Result
ENSMUSG00000103808,38
ENSMUSG00000087176,38
ENSMUSG00000106443,38
ENSMUSG00000106229,38
ENSMUSG00000104852,38
ENSMUSG00000106840,38
ENSMUSG00000046378,38
ENSMUSG00000081873,38
ENSMUSG00000109807,38
ENSMUSG00000103621,38
ENSMUSG00000078942,38
ENSMUSG00000093508,38
ENSMUSG00000043415,39
ENSMUSG00000039157,39
ENSMUSG00000056501,39
ENSMUSG00000038990,39
ENSMUSG00000025283,39
ENSMUSG00000004896,39
ENSMUSG00000104621,39
ENSMUSG00000079363,39
ENSMUSG00000025537,39
ENSMUSG00000040435,39
ENSMUSG00000057143,39
ENSMUSG00000046916,39
ENSMUSG00000040033,39
ENSMUSG00000055435,39
ENSMUSG00000051495,39
ENSMUSG00000018899,39
ENSMUSG00000061086,39
ENSMUSG00000025145,39
ENSMUSG00000021250,39
ENSMUSG00000024042,39
ENSMUSG00000001750,39
ENSMUSG00000074733,39
ENSMUSG00000039997,40
ENSMUSG00000009633,40
ENSMUSG00000031060,40
ENSMUSG00000027954,40
ENSMUSG00000079065,40
ENSMUSG00000029298,40
ENSMUSG00000037344,40
ENSMUSG00000012640,40
ENSMUSG00000097415,40
ENSMUSG00000090889,40
ENSMUSG00000032425,40
ENSMUSG00000038188,40
ENSMUSG00000021025,40
ENSMUSG00000096768,40
ENSMUSG00000095041,40
ENSMUSG00000056708,41
ENSMUSG00000044338,41
ENSMUSG00000045092,41
ENSMUSG00000018143,41
ENSMUSG00000019577,41
ENSMUSG00000029860,41
ENSMUSG00000030103,41
ENSMUSG00000038587,41
ENSMUSG00000069662,41
ENSMUSG00000035621,41
ENSMUSG00000020044,41
ENSMUSG00000020023,41
ENSMUSG00000031785,41
ENSMUSG00000032578,41
ENSMUSG00000020893,41
ENSMUSG00000018476,41
ENSMUSG00000000275,41
ENSMUSG00000042895,41
ENSMUSG00000089715,41
ENSMUSG00000048546,41
ENSMUSG00000022893,41
ENSMUSG00000022951,41
ENSMUSG00000024471,41
ENSMUSG00000053080,41
ENSMUSG00000020423,42
ENSMUSG00000028195,42
ENSMUSG00000029683,42
ENSMUSG00000044786,42
ENSMUSG00000019970,42
ENSMUSG00000019997,42
ENSMUSG00000071076,42
ENSMUSG00000052837,42
ENSMUSG00000031972,42
ENSMUSG00000097652,42
ENSMUSG00000079243,42
ENSMUSG00000020863,42
ENSMUSG00000021495,42
ENSMUSG00000022270,42
ENSMUSG00000023034,42
ENSMUSG00000041378,42
ENSMUSG00000024190,42
ENSMUSG00000038418,42
ENSMUSG00000035967,43
ENSMUSG00000039759,43
ENSMUSG00000042202,43
ENSMUSG00000059851,43
ENSMUSG00000101609,43
ENSMUSG00000020178,43
ENSMUSG00000060301,43
ENSMUSG00000031636,43
ENSMUSG00000021835,43
ENSMUSG00000040618,43
ENSMUSG00000032377,43
ENSMUSG00000034684,43
ENSMUSG00000076431,43
ENSMUSG00000021453,43
ENSMUSG00000044258,43
ENSMUSG00000001627,43
ENSMUSG00000022500,43
ENSMUSG00000047907,44
ENSMUSG00000050105,44
ENSMUSG00000029027,44
ENSMUSG00000105434,44
ENSMUSG00000036948,44
ENSMUSG00000107624,44
ENSMUSG00000051550,44
ENSMUSG00000006731,44
ENSMUSG00000097589,44
ENSMUSG00000033446,44
ENSMUSG00000042138,44
ENSMUSG00000037243,44
ENSMUSG00000086859,44
ENSMUSG00000022537,44
ENSMUSG00000067942,44
ENSMUSG00000017009,45
ENSMUSG00000001964,45
ENSMUSG00000027660,45
ENSMUSG00000028268,45
ENSMUSG00000028967,45
ENSMUSG00000039899,45
ENSMUSG00000090958,45
ENSMUSG00000032942,45
ENSMUSG00000050271,45
ENSMUSG00000022122,45
ENSMUSG00000050721,45
ENSMUSG00000021365,45
ENSMUSG00000071637,45
ENSMUSG00000026064,46
ENSMUSG00000026121,46
ENSMUSG00000025981,46
ENSMUSG00000026360,46
ENSMUSG00000026670,46
ENSMUSG00000023087,46
ENSMUSG00000062127,46
ENSMUSG00000029135,46
ENSMUSG00000037411,46
ENSMUSG00000090698,46
ENSMUSG00000074221,46
ENSMUSG00000032860,46
ENSMUSG00000020108,46
ENSMUSG00000019960,46
ENSMUSG00000022018,46
ENSMUSG00000022114,46
ENSMUSG00000043099,46
ENSMUSG00000074794,46
ENSMUSG00000079105,46
ENSMUSG00000032501,46
ENSMUSG00000036158,46
ENSMUSG00000039220,46
ENSMUSG00000024561,46
ENSMUSG00000040451,46
ENSMUSG00000032968,47
ENSMUSG00000044783,47
ENSMUSG00000026589,47
ENSMUSG00000090222,47
ENSMUSG00000027160,47
ENSMUSG00000085028,47
ENSMUSG00000028214,47
ENSMUSG00000104871,47
ENSMUSG00000032690,47
ENSMUSG00000061898,47
ENSMUSG00000078816,47
ENSMUSG00000108658,47
ENSMUSG00000031004,47
ENSMUSG00000025494,47
ENSMUSG00000050910,47
ENSMUSG00000020641,47
ENSMUSG00000019235,47
ENSMUSG00000034429,47
ENSMUSG00000044636,47
ENSMUSG00000037447,48
ENSMUSG00000045382,48
ENSMUSG00000026819,48
